Date,Stock Price
2023-01-02,139.83756159400255
2023-01-03,4.476695174395507
2023-01-04,1.0384235126834191
2023-01-05,2.186222416344921
2023-01-06,0.05496608014254986
2023-01-09,0.001382016272843913
2023-01-10,0.003352085437496892
2023-01-11,0.0010514112724953379
2023-01-12,1.4610219613841317e-05
2023-01-13,2.600336788109633e-06
2023-01-16,3.668948968082469e-08
2023-01-17,5.146637849028798e-10
2023-01-18,4.2948355793348e-11
2023-01-19,1.5698065512397643e-14
2023-01-20,9.223045317479936e-18
2023-01-23,1.0143579794173204e-19
2023-01-24,3.584838871723494e-22
2023-01-25,3.589182201168854e-23
2023-01-26,1.6518334656905134e-25
2023-01-27,2.133507246294115e-28
2023-01-30,3.887055346411554e-28
2023-01-31,9.981328328637464e-30
2023-02-01,5.366915036297416e-31
2023-02-02,6.717912494649371e-34
2023-02-03,7.729382901486232e-36
2023-02-06,4.636267766979378e-37
2023-02-07,1.156786114066249e-39
2023-02-08,1.3521522629785485e-40
2023-02-09,1.350125357099411e-42
2023-02-10,2.9363443086949676e-44
2023-02-13,2.924063672191437e-46
2023-02-14,1.411267801407461e-45
2023-02-15,6.186971645042186e-47
2023-02-16,1.952736653193044e-49
2023-02-17,7.037353399582565e-50
2023-02-20,1.4725011381203372e-52
2023-02-21,1.1304674277051163e-53
2023-02-22,3.6761422762625223e-57
2023-02-23,5.869103090932079e-60
2023-02-24,4.3715931811794754e-61
