Date Reported,Holder,pctHeld,Shares,Value
2023-06-30,Vanguard Group Inc,0.0722,413428897,50012493670
2023-06-30,Blackrock Inc.,0.0627,359175260,43449431202
2023-06-30,State Street Corporation,0.033299997,190859687,23088296336
2023-06-30,"FMR, LLC",0.0202,115885929,14018720831
2023-06-30,Price (T.Rowe) Associates Inc,0.0197,112847829,13651201874
2023-06-30,"Geode Capital Management, LLC",0.0172,98217816,11881409201
2023-06-30,JP Morgan Chase & Company,0.0150999995,86237704,10432175052
2023-06-30,Capital International Investors,0.014099999,80767333,9770424273
2023-06-30,Morgan Stanley,0.013300001,75921937,9184276718
2023-06-30,Northern Trust Corporation,0.0098,55994124,6773609180
